Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot9,"野猪",normal,3,Active,"Basement Crates","Basement Crates: Objective #1","1","20:02:28","N/A",
Bot10,"valeska",normal,5,Pending,"Med Tent","Med Tent: Objective #1","1","20:02:28","N/A",
Bot8,"hughz001",normal,12,Pending,"Scout","Zone place_pacemaker_SCOUT_04","1","20:02:28","N/A",
Bot7,"gaylatea",normal,8,Active,"Sanitary Standards - Part 1","Zone pumproom","1","20:02:28","N/A",
