Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot27,"Barlog_M",normal,7,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","10:17:56","10:18:17",
Bot27,"Barlog_M",normal,7,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","10:18:22","10:19:08",
Bot27,"Barlog_M",normal,7,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","10:19:13","10:20:22",
Bot31,"TimmyGG",normal,3,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","10:17:56","10:18:03",
Bot31,"TimmyGG",normal,3,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","10:18:09","10:18:31",
Bot31,"TimmyGG",normal,3,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","10:18:36","10:18:38",
Bot31,"TimmyGG",normal,3,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #3","1","10:18:43","10:19:09",
Bot31,"TimmyGG",normal,3,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","10:19:14","10:19:33",
Bot31,"TimmyGG",normal,3,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","10:19:38","10:19:47",
Bot31,"TimmyGG",normal,3,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","10:19:52","10:19:57",
Bot31,"TimmyGG",normal,3,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","10:20:02","10:20:32",
Bot31,"TimmyGG",normal,3,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","10:20:37","10:21:50",
Bot31,"TimmyGG",normal,3,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","10:21:55","10:26:11",
Bot33,"K4_a",normal,6,Failed,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","1","10:17:56","10:35:08",
Bot33,"K4_a",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","10:26:11","10:35:08",
Bot28,"All_Heil_Lord_Pepe",normal,11,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","10:17:56","10:27:29",
Bot32,"All_Heil_Lord_Pepe",normal,22,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","10:17:56","10:34:58",
Bot38,"Bulld0z3r",normal,23,Completed,"Capital Insight","Capital Insight: Objective #5","5","10:22:55","10:23:54",
Bot38,"Bulld0z3r",normal,23,Completed,"Capital Insight","Capital Insight: Objective #1","1","10:23:59","10:24:19",
Bot38,"Bulld0z3r",normal,23,Completed,"Capital Insight","Capital Insight: Objective #4","4","10:24:24","10:25:45",
Bot38,"Bulld0z3r",normal,23,Completed,"Capital Insight","Capital Insight: Objective #3","1","10:25:50","10:26:10",
Bot38,"Bulld0z3r",normal,23,Completed,"Capital Insight","Capital Insight: Objective #2","1","10:26:15","10:27:25",
Bot38,"Bulld0z3r",normal,23,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","10:27:30","10:28:50",
Bot54,"DevilFlippy",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","10:27:58","10:33:59",
Bot52,"Hubert",normal,20,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","10:27:58","10:28:02",
Bot52,"Hubert",normal,20,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","10:29:02","10:34:57",
Bot53,"Security-Sama",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","10:27:58","10:30:50",
Bot57,"Reis",normal,7,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","10:30:01","10:33:43",
Bot58,"BlackDeathGER",normal,23,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","10:30:01","10:36:41",
Bot61,"Батыр Городской (Leonana69)",normal,1,Active,"Capital Insight","Capital Insight: Objective #4","1","10:30:53","N/A",
Bot66,"Тоха Газобетон (Nikita)",normal,1,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","10:32:59","N/A",
Bot71,"Анфим Контрольный (Echo55)",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","10:35:01","N/A",
Bot73,"All_Heil_Lord_Pepe",normal,24,Failed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","1","10:36:04","10:36:41",
Bot72,"Drill",normal,13,Completed,"Underground North","Underground North: Objective #5","1","10:36:04","10:38:11",
Bot72,"Drill",normal,13,Active,"Underground North","Underground North: Objective #4","1","10:38:16","N/A",
Bot76,"skitles55",normal,16,Active,"Underground South","Underground South: Objective #3","1","10:37:59","N/A",
