Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot115,"Kobrakon",normal,25,Pending,"Scout","Zone place_pacemaker_SCOUT_04","1","16:00:58","N/A",
Bot114,"3371",normal,3,Active,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","16:00:58","N/A",
Bot118,"adudewithbadaim",normal,2,Active,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","16:00:58","N/A",
Bot119,"Acouthyt",normal,11,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","1","16:01:00","N/A",
