Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot14,"ThurmanMurman",normal,6,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:10:05","21:10:44",
Bot14,"ThurmanMurman",normal,6,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:11:44","21:12:17",
Bot14,"ThurmanMurman",normal,6,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:13:17","21:14:29",
Bot14,"ThurmanMurman",normal,6,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:14:34","21:14:40",
Bot14,"ThurmanMurman",normal,6,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:14:45","21:15:33",
Bot15,"Gizzy",normal,20,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:10:05","21:15:57",
Bot17,"TinglePlayerParkov",normal,5,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:10:05","21:10:07",
Bot17,"TinglePlayerParkov",normal,5,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:10:12","21:11:31",
Bot17,"TinglePlayerParkov",normal,5,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:11:36","21:12:02",
Bot18,"王哈桑ザ",normal,12,Completed,"Nakatani Tower","Nakatani Tower: Objective #1","1","21:10:05","21:10:08",
Bot18,"王哈桑ザ",normal,12,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:10:14","21:12:54",
Bot18,"王哈桑ザ",normal,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:13:54","21:14:37",
Bot19,"Basuro",normal,3,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:10:05","21:11:14",
Bot19,"Basuro",normal,3,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:11:19","21:11:51",
Bot19,"Basuro",normal,3,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:11:56","21:12:52",
Bot19,"Basuro",normal,3,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:12:57","21:13:18",
Bot19,"Basuro",normal,3,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:13:24","21:16:26",
Bot28,"Goewert",normal,18,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:22:05","21:35:08",
Bot28,"Goewert",normal,18,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:35:13","N/A",
Bot29,"reider123",normal,7,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:22:05","21:29:41",
Bot40,"r2go",normal,2,Active,"Underground Utility Room","Underground Utility Room: Objective #1","1","21:28:09","N/A",
Bot45,"VirtualHex",normal,18,Pending,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","21:30:07","N/A",
Bot44,"Victor_Two",normal,17,Pending,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","21:30:07","N/A",
Bot44,"Victor_Two",normal,17,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","21:30:07","21:33:21",
Bot44,"Victor_Two",normal,17,Active,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","21:33:27","N/A",
Bot48,"jbs4bmx",normal,2,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","21:34:09","N/A",
Bot49,"btdc00",normal,6,Pending,"Supplies Near VEX","Supplies Near VEX: Objective #1","1","21:34:10","N/A",
Bot51,"DjLang",normal,2,Pending,"Capital Insight","Capital Insight: Objective #3","1","21:35:08","N/A",
Bot50,"Cheese",normal,4,Pending,"M Showroom Sniping","M Showroom Sniping: Objective #2","1","21:35:08","N/A",
Bot50,"Cheese",normal,4,Active,"M Showroom Sniping","M Showroom Sniping: Objective #1","1","21:35:08","N/A",
Bot52,"Изя Мультик (Basuro)",normal,1,Active,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","1","21:35:18","N/A",
