Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot29,"SirTyler",normal,1,Failed,"Break Room","Break Room: Objective #1","1","17:22:35","17:23:01",
Bot32,"MacrossMX7167",normal,11,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","17:22:35","17:23:23",
Bot31,"ThatGuyXIV",normal,11,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","17:22:35","17:22:42",
Bot31,"ThatGuyXIV",normal,11,Failed,"Delivery From the Past","Zone case_extraction","1","17:22:47","17:27:23",
Bot30,"ThurmanMurman",normal,13,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","17:22:35","17:23:59",
