Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot67,"reider123",normal,11,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","15:03:21","15:10:57",
Bot70,"InternalError_",normal,5,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","15:03:21","15:05:27",
Bot69,"PoppleO",normal,7,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","15:03:21","15:05:32",
Bot69,"PoppleO",normal,7,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","15:03:21","15:05:32",
Bot71,"Karthel",normal,2,Failed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","15:03:23","15:05:54",
Bot72,"Моня Бутовский (Valens)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","15:07:24","15:07:27",
Bot72,"Моня Бутовский (Valens)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","15:07:32","15:08:04",
Bot72,"Моня Бутовский (Valens)",normal,1,Pending,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","15:08:09","N/A",
Bot77,"冰淇淋",normal,5,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","15:08:21","15:11:58",
