Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot5,"NugentGL",normal,2,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","09:43:42","09:48:07",
Bot4,"aleves",normal,3,Failed,"Skyside Hotel","Skyside Hotel: Objective #4","1","09:43:42","09:46:44",
Bot8,"GopnikWarrior",normal,8,Pending,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","09:43:42","N/A",
Bot7,"Logical Solutions",normal,23,Pending,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","09:43:42","N/A",
Bot3,"Choccy",normal,8,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","09:43:42","09:46:21",
Bot3,"Choccy",normal,8,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","09:44:07","09:46:21",
Bot6,"KittehKun",normal,9,Pending,"TerraGroup Office Quest Room Camping","TerraGroup Office Quest Room Camping: Objective #1","1","09:43:42","N/A",
Bot6,"KittehKun",normal,9,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","09:43:42","09:43:59",
Bot6,"KittehKun",normal,9,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #3","1","09:44:04","09:45:01",
Bot6,"KittehKun",normal,9,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #1","1","09:45:06","09:45:41",
Bot6,"KittehKun",normal,9,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","09:45:46","N/A",
Bot9,"btdc00",normal,12,Pending,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","09:43:42","N/A",
Bot14,"Богдан Грузчик (jehree)",normal,1,Failed,"Skyside Hotel","Skyside Hotel: Objective #4","1","09:47:51","09:48:58",
Bot15,"Филя Кастет (STUOKD)",normal,1,Completed,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","09:50:16","09:50:29",
Bot15,"Филя Кастет (STUOKD)",normal,1,Failed,"TerraGroup Lawn","TerraGroup Lawn: Objective #3","1","09:50:34","09:51:42",
