Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot21,"Ngst",normal,4,Active,"Basement Crates","Basement Crates: Objective #2","1","10:07:23","N/A",
Bot19,"Nootropix",normal,13,Pending,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","2","10:07:23","N/A",
Bot18,"ColonelPeePantz",normal,3,Active,"Basement Crates","Basement Crates: Objective #2","1","10:07:23","N/A",
Bot22,"Ninjaweb",normal,9,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","10:07:23","10:08:32",
Bot23,"Aethas",normal,6,Failed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","10:07:23","10:07:54",
Bot20,"Pettan",normal,6,Failed,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","10:07:23","10:09:10",
