Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot34,"HB",normal,6,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","20:15:51","20:15:54",
Bot34,"HB",normal,6,Pending,"Sanitary Standards - Part 1","Zone pumproom","1","20:15:59","N/A",
Bot33,"PoppleO",normal,1,Active,"Basement Crates","Basement Crates: Objective #1","1","20:15:51","N/A",
Bot35,"archon0ne",normal,2,Pending,"Basement Crates","Basement Crates: Objective #2","1","20:15:51","N/A",
Bot38,"Армен Щачло (wara)",normal,1,Active,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","20:15:51","N/A",
Bot36,"jiblet",normal,10,Active,"Bad Rep Evidence","Zone locked_office","1","20:15:51","N/A",
Bot37,"SovietWalrus",normal,8,Active,"3rd Floor Office","3rd Floor Office: Objective #1","1","20:15:51","N/A",
