Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot84,"IcyClawz",normal,11,Active,"Sanitary Standards - Part 1","Zone pumproom","1","17:05:31","N/A",
Bot82,"halik92",normal,6,Pending,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","17:05:31","N/A",
Bot83,"itsMickle",normal,8,Active,"Bad Rep Evidence","Zone locked_office","1","17:05:31","N/A",
Bot81,"Agnotology",normal,8,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","17:05:31","17:05:59",
Bot80,"Федот Кабачок (RomanxTheLast)",normal,1,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","17:05:31","17:05:42",
Bot86,"ANIME",normal,8,Active,"Basement Crates","Basement Crates: Objective #2","1","17:05:31","N/A",
Bot85,"Clerance",normal,7,Failed,"Med Tent","Med Tent: Objective #1","1","17:05:32","17:06:34",
