Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot6,"NikitaWaifu",normal,8,Pending,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","13:46:30","N/A",
Bot3,"nooky",normal,13,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","13:46:30","13:46:55",
Bot5,"TimmyGG",normal,2,Active,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","13:46:30","N/A",
Bot1,"lualeet",normal,3,Active,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","13:46:30","N/A",
Bot7,"Scuvy",normal,1,Pending,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","1","13:46:30","N/A",
