Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot61,"Conqueror_Alex",normal,11,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","14:39:16","14:39:39",
Bot60,"红衣抚琴染绛天涯",normal,8,Failed,"Basement Crates","Basement Crates: Objective #1","1","14:39:16","14:41:57",
Bot59,"Виталя Вавилон (Lua)",normal,1,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","2","14:39:16","N/A",
Bot64,"Props",normal,3,Pending,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","14:39:16","N/A",
Bot62,"Security-Sama",normal,18,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","14:39:16","14:39:20",
Bot63,"Fin",normal,3,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","14:39:16","14:40:24",
Bot66,"Вован Турникмен (alias)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","14:42:15","14:42:22",
Bot66,"Вован Турникмен (alias)",normal,1,Active,"Med Tent","Med Tent: Objective #1","1","14:42:27","N/A",
