Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Bulld0z3r",normal,23,Completed,"Kyshperski","Kyshperski: Objective #1","1","22:34:33","22:34:52",
Bot1,"Bulld0z3r",normal,23,Failed,"Kyshperski","Kyshperski: Objective #2","1","22:34:57","22:37:59",
Bot1,"Bulld0z3r",normal,23,Completed,"Kyshperski","Kyshperski: Objective #3","1","22:35:34","22:35:37",
Bot1,"Bulld0z3r",normal,23,Completed,"Kyshperski","Kyshperski: Objective #4","2","22:35:42","22:36:26",
Bot1,"Bulld0z3r",normal,23,Failed,"Capital Insight","Capital Insight: Objective #4","2","22:36:31","22:37:59",
Bot6,"seionmoya",normal,1,Failed,"Underground North","Underground North: Objective #1","1","22:34:33","22:34:52",
Bot6,"seionmoya",normal,1,Failed,"Underground North","Underground North: Objective #2","1","22:34:57","22:35:14",
Bot6,"seionmoya",normal,1,Failed,"Underground North","Underground North: Objective #3","1","22:35:19","22:35:26",
Bot6,"seionmoya",normal,1,Failed,"Underground North","Underground North: Objective #4","1","22:35:31","22:35:36",
Bot6,"seionmoya",normal,1,Failed,"Underground North","Underground North: Objective #5","1","22:35:41","22:39:14",
Bot7,"papershredder432",normal,5,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","22:34:33","22:40:06",
Bot7,"papershredder432",normal,5,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","22:40:11","22:40:22",
Bot7,"papershredder432",normal,5,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","22:40:27","22:40:28",
Bot7,"papershredder432",normal,5,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","22:40:33","22:40:55",
Bot7,"papershredder432",normal,5,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","22:41:00","22:41:30",
Bot7,"papershredder432",normal,5,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","22:41:35","22:41:48",
Bot7,"papershredder432",normal,5,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #3","1","22:41:53","22:42:06",
Bot7,"papershredder432",normal,5,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","22:42:11","22:42:21",
Bot7,"papershredder432",normal,5,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","22:42:26","22:43:02",
Bot7,"papershredder432",normal,5,Active,"TerraGroup Office Upstairs Camping","TerraGroup Office Upstairs Camping: Objective #1","2","22:43:08","N/A",
Bot5,"MechanicMan396",normal,7,Completed,"Capital Insight Sniping","Capital Insight Sniping: Objective #2","2","22:34:33","22:37:01",
Bot5,"MechanicMan396",normal,7,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","22:37:06","22:37:59",
Bot4,"Никанор Кацман (svbtext)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","22:34:33","22:35:20",
Bot4,"Никанор Кацман (svbtext)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","22:35:25","22:36:11",
Bot4,"Никанор Кацман (svbtext)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","22:36:16","22:41:43",
Bot4,"Никанор Кацман (svbtext)",normal,1,Active,"Tarbank Stairwell Camping","Tarbank Stairwell Camping: Objective #1","2","22:41:48","N/A",
Bot8,"savid_dubs",normal,2,Failed,"Kyshperski","Kyshperski: Objective #2","1","22:34:33","22:38:48",
Bot14,"Гарри Плоскостопие (SirTyler)",normal,1,Completed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","2","22:38:34","22:39:41",
Bot14,"Гарри Плоскостопие (SirTyler)",normal,1,Pending,"Capital Insight","Capital Insight: Objective #4","4","22:39:46","N/A",
Bot13,"Авксентий Сынуля (NORVINSK_EVANGELION)",normal,1,Pending,"Capital Insight","Capital Insight: Objective #5","2","22:38:35","N/A",
Bot15,"Никитка Щур (ObiOne)",normal,1,Active,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","2","22:38:35","N/A",
Bot18,"Филипп Копченый (PoppleO)",normal,1,Active,"Tarbank Stairwell Camping","Tarbank Stairwell Camping: Objective #1","2","22:38:43","N/A",
Bot19,"Богдан Бугор (Doge)",normal,1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","22:42:35","22:42:53",
Bot19,"Богдан Бугор (Doge)",normal,1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #2","3","22:42:58","22:44:06",
Bot19,"Богдан Бугор (Doge)",normal,1,Completed,"TerraGroup Office Upstairs Camping","TerraGroup Office Upstairs Camping: Objective #2","2","22:44:11","22:46:44",
Bot22,"Кирилл Коптёр (kmyuhkyuk)",normal,1,Active,"Olive Restaurant","Olive Restaurant: Objective #1","1","22:42:54","N/A",
Bot25,"alias",normal,12,Pending,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","22:44:34","N/A",
Bot24,"Snofielf",normal,9,Pending,"Capital Insight","Capital Insight: Objective #5","2","22:44:35","N/A",
