Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Arys",normal,9,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:10:09","22:12:18",
Bot1,"Rasdow",normal,4,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","22:10:09","22:11:50",
Bot7,"IsaacSin",normal,19,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:10:09","22:10:58",
Bot11,"OkaMoez",normal,11,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:10:09","22:21:52",
Bot10,"bluehead",normal,25,Active,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:10:09","N/A",
Bot6,"BaddestDragon",normal,9,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","22:10:09","22:12:56",
Bot12,"LimboFPS",normal,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:10:09","22:26:03",
Bot3,"Юстин Жмурик (Rasdow)",normal,1,Failed,"Skyside Hotel","Skyside Hotel: Objective #2","1","22:10:09","22:13:36",
Bot9,"Филя Балалайка (Fershte)",normal,1,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","22:10:09","22:20:15",
Bot9,"Филя Балалайка (Fershte)",normal,1,Pending,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","22:20:21","N/A",
Bot5,"Hubert",normal,5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:10:10","22:12:25",
Bot22,"Миша Окунь (Scuvy)",normal,1,Completed,"Tartowers","Tartowers: Objective #4","1","22:20:09","22:20:19",
Bot22,"Миша Окунь (Scuvy)",normal,1,Pending,"Tartowers","Tartowers: Objective #2","1","22:20:24","N/A",
Bot21,"RyuAzuku",normal,6,Pending,"Capital Insight","Capital Insight: Objective #3","1","22:20:09","N/A",
Bot23,"Микола Ипотека (Swankyorc)",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #1","1","22:20:09","22:20:36",
Bot23,"Микола Ипотека (Swankyorc)",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #2","2","22:20:41","22:21:23",
Bot23,"Микола Ипотека (Swankyorc)",normal,1,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","22:21:28","22:21:39",
Bot23,"Микола Ипотека (Swankyorc)",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","22:21:44","22:22:06",
Bot23,"Микола Ипотека (Swankyorc)",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","22:22:11","22:22:32",
Bot23,"Микола Ипотека (Swankyorc)",normal,1,Completed,"Olive Restaurant","Olive Restaurant: Objective #6","1","22:22:37","22:22:58",
Bot23,"Микола Ипотека (Swankyorc)",normal,1,Active,"Kyshperski","Kyshperski: Objective #3","1","22:23:03","N/A",
Bot20,"Amands2Mello",normal,20,Completed,"Capital Insight","Capital Insight: Objective #3","1","22:20:09","22:20:12",
Bot20,"Amands2Mello",normal,20,Completed,"Capital Insight","Capital Insight: Objective #2","1","22:20:17","22:23:31",
Bot20,"Amands2Mello",normal,20,Completed,"Capital Insight","Capital Insight: Objective #1","1","22:23:36","22:24:29",
Bot20,"Amands2Mello",normal,20,Pending,"Capital Insight","Capital Insight: Objective #4","1","22:24:34","N/A",
Bot27,"HB",normal,13,Active,"Underground South","Underground South: Objective #1","1","22:22:10","N/A",
Bot28,"Артур Леголас (MechanicMan396)",normal,1,Active,"Underground Utility Room","Underground Utility Room: Objective #1","1","22:22:18","N/A",
Bot29,"Феликс Правильный (GIANT ENEMY CRAB)",normal,1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","22:22:40","N/A",
