Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot87,"alias",normal,11,Failed,"Bad Rep Evidence","Zone locked_office","1","15:17:01","15:17:40",
Bot89,"Fershte",normal,13,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","15:17:01","15:19:07",
Bot88,"jfetko",normal,3,Failed,"Med Tent","Med Tent: Objective #1","1","15:17:01","15:18:57",
Bot90,"Cannuccia",normal,26,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","15:17:01","15:17:52",
Bot86,"All_Heil_Lord_Pepe",normal,6,Failed,"Bad Rep Evidence","Zone locked_office","1","15:17:01","15:17:38",
Bot91,"btdc00",normal,5,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","15:17:02","15:18:00",
Bot93,"Жека Чиркаш (TonioX)",normal,1,Active,"Gate 3 Camping","Gate 3 Camping: Objective #1","1","15:19:00","N/A",
