Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot77,"冰淇淋",normal,7,Active,"Bad Rep Evidence","Zone locked_office","1","10:43:49","N/A",
Bot82,"Capataina",normal,12,Pending,"Med Tent","Med Tent: Objective #1","1","10:43:49","N/A",
Bot81,"Stealthsuit",normal,4,Failed,"Basement Crates","Basement Crates: Objective #2","1","10:43:49","10:44:15",
Bot79,"skitles55",normal,13,Active,"Sanitary Standards - Part 1","Zone pumproom","1","10:43:49","N/A",
Bot80,"TinglePlayerParkov",normal,3,Active,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","10:43:49","N/A",
