Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"Amands2Mello",normal,19,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:06:54","N/A",
Bot13,"Oraceon",normal,8,Active,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:06:54","N/A",
Bot19,"redlaser42",normal,28,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","20:06:54","N/A",
Bot20,"Hubert",normal,12,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:06:54","N/A",
Bot14,"DeadLeaves",normal,11,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","20:06:54","20:10:00",
Bot18,"STUOKD",normal,4,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","20:06:54","20:13:32",
Bot16,"gaylatea",normal,14,Active,"Spawn Rush","Spawn Rush: Objective #1","1","20:06:54","N/A",
Bot17,"Stealthsuit",normal,8,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","20:06:54","20:12:26",
Bot27,"craink",normal,54,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:12:00","20:12:23",
Bot29,"kmyuhkyuk",normal,15,Completed,"Tartowers","Tartowers: Objective #4","1","20:12:53","20:13:22",
Bot29,"kmyuhkyuk",normal,15,Pending,"Tartowers","Tartowers: Objective #1","1","20:13:27","N/A",
Bot30,"Big Chungus",normal,7,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","20:12:53","N/A",
Bot28,"HB",normal,7,Pending,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","20:12:54","N/A",
