Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot100,"itsMickle",normal,11,Failed,"Delivery From the Past","Zone case_extraction","1","17:19:37","17:22:04",
Bot99,"3371",normal,1,Active,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","17:19:37","N/A",
Bot101,"Kiobu",normal,11,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","17:19:37","17:20:32",
Bot102,"Props",normal,11,Failed,"Bad Rep Evidence","Zone locked_office","1","17:19:37","17:22:02",
Bot104,"!Komino Style!",normal,10,Pending,"Delivery From the Past","Zone case_extraction","1","17:19:37","N/A",
Bot103,"Skwizzy",normal,2,Active,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","17:19:37","N/A",
