Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot44,"Barlog_M",normal,9,Active,"Tarbank","Tarbank: Objective #2","1","16:42:07","N/A",
Bot40,"clmove",normal,9,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","16:42:08","N/A",
Bot41,"52sierra",normal,10,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","16:42:08","N/A",
Bot39,"Alex",normal,11,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","16:42:08","N/A",
Bot45,"vampuico",normal,4,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","16:42:08","16:42:42",
Bot45,"vampuico",normal,4,Pending,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","1","16:42:47","N/A",
Bot46,"aleves",normal,7,Pending,"Skyside Hotel","Skyside Hotel: Objective #2","1","16:42:08","N/A",
Bot48,"svbtext",normal,9,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","16:42:08","16:42:15",
Bot48,"svbtext",normal,9,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","16:42:20","16:42:38",
Bot48,"svbtext",normal,9,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","16:42:43","16:43:25",
Bot48,"svbtext",normal,9,Active,"Skyside Hotel","Skyside Hotel: Objective #4","1","16:43:30","N/A",
Bot47,"SilverParsnip",normal,5,Failed,"Kyshperski","Kyshperski: Objective #4","2","16:42:08","16:42:56",
